Simulation,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingVintage,EUI[kWh/m²a],Baseboard Design Size U-Factor Times Area Average [kW/K],EUI-Heating[kWh/m²a],EUI-InteriorLighting[kWh/m²a],EUI-Pumps[kWh/m²a],EUI-Cooling[kWh/m²a],GrossFloorArea[m²],HotWaterPumpDesignFlowRate[l/min],HotWaterPumpDesignPowerConsumption[kW],Baseboard Design Size Maximum Water Flow Rate Average [l/min],HeatEmissions-Total[MWh/a],HeatEmissionsZone-Exfiltration[MWh/a],HeatEmissionsZone-HVACRejectHeat[MWh/a],BoilerDesignSizeNominalCapacity[kW],CentralAirSourceHeatPumpCapacity[kW],Service Hot Water Heater Design Flow Rate [l/min],Boiler Heating Rate Average [kW],District Heating Rate Average [kW],Average District Heating Rate [kW],District Heating Hot Water Energy Sum [MJ],District Heating Inlet Temperature Average[C],District Heating Outlet Temperature Average [C],District Heating Mass Flow Rate Average [kg/s],Boiler Heating Energy Average [MJ],Boiler Inlet Temperature Average[C],Boiler Outlet Temperature Average [C],Boiler Mass Flow Rate Average [kg/s],Boiler Part Load Ratio Average,Boiler Efficiency,Baseboard Total Heating Energy Sum Average [MJ],Baseboard Hot Water Energy Sum Average[MJ],Baseboard Hot Water Mass Flow Rate Average Average [kg/s],Baseboard Air Inlet Temperature Average Average [C],Baseboard Air Outlet Temperature Average Average [C],Baseboard Water Inlet Temperature Average Average [C],Baseboard Water Outlet Temperature Average Average [C],Baseboard Total Heating Rate Average Average [kW],Baseboard Total Heating Rate Average Sum[kW],Baseboard Total Heating Energy Sum Sum [MJ],Baseboard Hot Water Energy Sum Sum[MJ],Baseboard Hot Water Mass Flow Rate Average Sum [kg/s],Baseboard Water Outlet Temperature Average Sum [C],Baseboard Water Inlet Temperature Average Sum [C],Baseboard Air Outlet Temperature Average Sum [C],Baseboard Air Inlet Temperature Average Sum [C],Water Heater Heat Loss Rate Average [kW],Water Heater Tank Temperature Average [C],Water Heater Heat Loss Energy Sum [MJ],Water Heater Use Side Mass Flow Rate Average [kg/s],Water Heater Use Side Inlet Temperature Average [C],Water Heater Use Side Outlet Temperature Average [C],Water Heater Use Side Heat Transfer Rate Average [kW],Water Heater Use Side Heat Transfer Energy Sum [MJ],Water Heater Total Demand Heat Transfer Rate Average [kW],Water Heater Heating Rate Average [kW],Water Heater Electricity Rate Average [kW],Volume [m³],Construction Area [%],Window to Wall Ratio [%]
Simulation117,Country,29,3,3.27,Vertical-Windows,3.97,2.15,5,5,3,10.52,FALSE,External-Shading,Passive,ASHPBaseboard,Electric_TanklessHeater,2004,61.674,0.624682,7.899,16.813,0.047,0,2387.02,2.472274,0.001754,6.765541,595.861111,86.386111,0,0,119.171153,2.472274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001958,0.001958,0.001962,23.314317,24.287757,48.869966,42.275893,0.223546,5.141551,0.04504,0.04504,0.045137,972.345533,1124.009226,558.618401,536.229294,-0.221818,58.969711,-0.001943,0.028182,50.341756,58.969711,-1.350246,-0.011828,1.556089,1.556168,1.556168,9786.801024,0.079718,0.212453
Simulation118,Urban,148,4,4.42,Horizontal-Windows,3.58,3.65,4,5,3,11.17,TRUE,Low-SHGC-Value,GEG,DHWBaseboard,Gas_WaterHeater,2010,62.52,0.16545,5.287,17.848,0.006,0,16423.02,4.536744,0.00322,9.207778,3002.425,593.933333,19.102778,603.388249,0,4.536744,7.731921,0,0,0,0,0,0,0.067732,67731.63204,45.678241,0.035331,0.012814,0.29981,0.000794,0.000794,0.000418,28.90652,29.149208,82.218997,78.170144,0.090657,7.796478,0.068297,0.068297,0.03595,6722.63239,7070.833784,2506.831893,2485.960717,0,67.013969,0,0.051715,51.199633,67.013969,-2.531117,-0.022173,2.526006,2.53106,0,55674.03,0.048919,0.191474
Simulation119,Suburbs,107,5,3.75,Horizontal-Windows,3.73,3.48,3,4,3,10.43,TRUE,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,2010,59.821,0.240481,3.084,17.309,0.005,0,22882.06,8.232068,0.005842,13.382017,3581.822222,783.177778,15.525,785.155855,0,8.232068,6.283409,0,0,0,0,0,0,0.055043,55042.66629,45.22103,0.032617,0.008003,0.242104,0.000721,0.000721,0.000429,30.670303,30.813255,82.220334,79.911413,0.082266,6.334449,0.05549,0.05549,0.03306,6153.178799,6330.965738,2372.62064,2361.61334,0,67.014182,0,0.093839,51.19979,67.014182,-4.592831,-0.040233,4.587721,4.592776,0,97935.19624,0.036217,0.226981
Simulation121,Country,56,5,4,Vertical-Windows,3.34,3.74,4,3,3,7.75,FALSE,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2004,55.14,1.10942,1.204,16.726,0.009,0,12290.97,8.138316,0.005775,12.002659,1856.627778,368.330556,0,0,376.879142,8.138316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000842,0.000842,0.000849,28.947827,29.121705,48.887474,47.541739,0.096164,3.942711,0.034538,0.034538,0.034812,1949.21128,2004.386451,1193.989917,1186.860903,-0.221794,58.965618,-0.001943,0.09277,50.322639,58.965618,-4.444761,-0.038936,4.650629,4.65083,4.65083,45722.40141,0.039195,0.234286
Simulation122,Suburbs,18,2,4.1,Vertical-Windows,2.56,2.99,4,3,2,8.39,TRUE,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,1980_2004,59.842,0.641253,1.371,18.11,0.009,0,11615.23,4.126314,0.002928,6.946655,1882.913889,412.802778,0,0,409.644607,4.126314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000484,0.000484,0.000481,29.809667,30.00592,48.887028,47.354398,0.055239,4.253379,0.03726,0.03726,0.037066,3646.288678,3764.301123,2310.455856,2295.344341,0,67.013986,0,0.047036,51.199466,67.013986,-2.302185,-0.020167,2.297074,2.302128,0,36239.50562,0.05058,0.26666
Simulation123,Urban,121,9,3.39,Vertical-Windows,2.54,3.95,5,3,3,9.67,TRUE,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,2013,69.99,0.237928,15.139,16.272,0.029,0,3469.93,7.282287,0.005168,13.200932,798.686111,105.158333,0,0,0,7.282287,0,5.996669,5.996669,0.052531,23.33028,50.481276,0.030528,0,0,0,0,0,0,0.003823,0.003823,0.002181,22.358879,23.55881,82.110331,66.43738,0.436458,6.110409,0.053527,0.053527,0.030528,930.12332,1149.544634,329.823337,313.024304,-0.221793,58.965546,-0.001943,0.083012,50.334411,58.965546,-3.977204,-0.03484,4.183064,4.183179,4.183179,13983.82596,0.059698,0.25089
Simulation125,Urban,125,8,4.28,Vertical-Windows,3.89,2.73,4,4,4,12.28,TRUE,External-Shading,GEG,BoilerBaseboard,Gas_TanklessHeater,2013,59.319,0.557016,8.118,16.064,0.048,0,2142.65,2.035905,0.001445,6.032411,504.294444,70.475,0,0,106.25749,2.035905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001807,0.001807,0.00181,23.246403,24.247308,48.870986,42.079333,0.20625,4.743746,0.041555,0.041555,0.04163,967.824661,1124.032675,557.688084,534.667265,-0.221818,58.969747,-0.001943,0.023208,50.35025,58.969747,-1.111933,-0.009741,1.317772,1.317824,1.317824,8634.867958,0.084114,0.21795
Simulation128,Urban,40,4,3.72,Vertical-Windows,3.59,3.76,3,4,3,12.53,FALSE,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2013,64.966,0.116156,12.724,15.997,0.019,0,2751.42,3.1156,0.002211,6.463962,484.002778,80.866667,0,0,0,3.1156,0,3.996281,3.996281,0.035007,21.383382,47.038051,0.017854,0,0,0,0,0,0,0.001539,0.001539,0.000776,24.599314,25.364178,82.190824,70.548476,0.175665,4.0403,0.035393,0.035393,0.017854,1622.614938,1890.388944,583.376083,565.784216,-0.221818,58.969653,-0.001943,0.035515,50.342222,58.969653,-1.701607,-0.014906,1.907456,1.907531,1.907531,8611.937651,0.071423,0.471351
Simulation129,Suburbs,35,8,3.12,Horizontal-Windows,2.95,2.32,5,4,3,8.78,TRUE,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2004,61.185,0.24782,3.397,17.586,0.006,0,20950.31,10.485021,0.007441,13.790217,3436.425,746.275,15.658333,714.535131,0,10.485021,6.33744,0,0,0,0,0,0,0.055516,55515.97867,46.149461,0.033239,0.008869,0.250017,0.000823,0.000823,0.000496,29.798575,29.962235,82.21992,79.595861,0.09398,6.390649,0.055982,0.055982,0.033742,5412.518556,5590.954589,2037.432,2026.303101,-0.221794,58.965601,-0.001943,0.11952,50.327538,58.965601,-5.726355,-0.050163,5.932244,5.932377,5.932377,90295.81786,0.035203,0.220762
Simulation130,Suburbs,84,1,4.03,Vertical-Windows,3.8,3.56,4,5,2,7.65,TRUE,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,1980_2004,61.599,0.194979,5.691,16.986,0.01,0,12132.43,6.654986,0.004723,10.850875,1726.1,416.991667,0,0,0,6.654986,0,7.882574,7.882574,0.069051,24.485545,45.459421,0.040011,0,0,0,0,0,0,0.001187,0.001187,0.000678,29.399734,29.736795,82.200868,76.705172,0.135466,7.992485,0.070014,0.070014,0.040011,4525.605158,4849.851197,1754.470899,1734.584304,0,67.015193,0,0.075861,51.201161,67.015193,-3.712775,-0.032524,3.707675,3.71273,3.71273,50470.92101,0.043196,0.553767
Simulation131,Suburbs,82,2,4.03,Vertical-Windows,2.24,2.01,4,3,3,12.09,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2010,59.271,0.618381,3.881,17.571,0.024,0,4005.79,2.7056,0.00192,6.695668,787.711111,132.658333,0,0,164.090967,2.7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001151,0.001151,0.001132,25.328954,25.849635,48.885009,45.02935,0.131425,4.205587,0.036841,0.036841,0.036216,1440.939214,1564.320276,827.188329,810.526513,-0.221811,58.968491,-0.001943,0.030842,50.345157,58.968491,-1.477672,-0.012944,1.68351,1.683596,1.683596,12778.45657,0.070217,0.216283
Simulation132,Suburbs,174,2,3.13,Ribbon-Windows,2.33,2.3,4,3,4,9.46,FALSE,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,pre_1980,60.696,0.164379,3.013,18.394,0.004,0,17179.29,4.430094,0.003144,9.148216,2921.227778,663.266667,11.388889,599.485178,0,4.430094,4.609717,0,0,0,0,0,0,0.040381,40381.1192,42.584515,0.021968,0.007689,0.250656,0.000474,0.000474,0.00026,30.569254,30.708232,82.219736,79.985836,0.054057,4.648882,0.040724,0.040724,0.022344,6878.781863,7070.89729,2640.907939,2628.955834,-0.221804,58.967407,-0.001943,0.050499,50.33818,58.967407,-2.419515,-0.021195,2.625361,2.625489,2.625489,57894.2073,0.046022,0.205949
Simulation133,Urban,110,7,4.31,Vertical-Windows,3.39,3.99,4,4,4,7.29,TRUE,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2010,72.035,0.121415,15.708,17.872,0.016,0,8301.05,2.145766,0.001523,6.757409,1919.119444,340.683333,28.686111,442.814877,0,2.145766,11.610173,0,0,0,0,0,0,0.101705,101705.1148,47.742214,0.053006,0.026219,0.330516,0.001195,0.001195,0.000635,26.819692,27.372942,82.208742,73.396111,0.1364,11.730426,0.102759,0.102759,0.054577,6312.065578,7069.951844,2354.072969,2306.493552,0,67.012912,0,0.02446,51.198962,67.012912,-1.197096,-0.010487,1.191975,1.19703,0,33038.19194,0.067516,0.309686
Simulation134,Urban,114,6,4.16,Ribbon-Windows,3.38,2.54,3,4,4,9.86,TRUE,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_TanklessHeater,2007,59.739,0.24059,3.084,17.752,0.006,0,20268.8,7.175891,0.005092,13.388093,3503.530556,713.658333,0,0,0,7.175891,0,7.136095,7.136095,0.062512,26.134526,45.339321,0.037828,0,0,0,0,0,0,0.00093,0.00093,0.000556,29.615901,29.797859,82.214362,79.294999,0.106164,7.219137,0.06324,0.06324,0.037828,5392.059914,5590.576636,2026.254403,2013.881288,-0.221782,58.963678,-0.001943,0.081799,50.333381,58.963678,-3.919147,-0.034332,4.124995,4.125164,4.125164,84115.5209,0.037804,0.248477
Simulation135,Urban,19,3,3.19,Vertical-Windows,2.83,2.22,5,4,2,11.88,FALSE,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,2013,63.738,0.178408,6.908,17.507,0.009,0,8732.3,5.461397,0.003876,9.928002,1571.702778,282.9,13.272222,310.162486,0,5.461397,5.371179,0,0,0,0,0,0,0.047052,47051.52713,44.864409,0.02507,0.017317,0.284976,0.001158,0.001158,0.000624,26.876342,27.191898,82.216369,77.025276,0.132148,5.418067,0.047462,0.047462,0.025568,3158.03631,3370.871116,1114.867813,1101.930029,0,67.014168,0,0.062255,51.19961,67.014168,-3.04708,-0.026692,3.041971,3.047025,0,30737.68755,0.048073,0.196574
Simulation136,Suburbs,91,9,3.37,Vertical-Windows,3.6,3.81,5,3,2,8.25,FALSE,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,pre_1980,59.531,0.96366,4.476,16.634,0.03,0,4499.26,5.948341,0.004221,10.433413,1035.811111,148.2,0,0,183.77863,5.948341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00207,0.00207,0.002085,24.146708,24.79454,48.876495,44.167129,0.236317,5.435285,0.047613,0.047613,0.047947,1015.843964,1124.159388,570.274418,555.374286,0,67.014546,0,0.067806,51.200115,67.014546,-3.318709,-0.029072,3.313603,3.318657,3.318657,17772.08446,0.058968,0.217592
Simulation137,Country,47,9,3.98,Horizontal-Windows,3.09,2.15,4,3,2,10.35,FALSE,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,1980_2004,58.772,0.14517,2.042,17.559,0.004,0,14824.01,5.006381,0.003553,8.078657,2324.080556,506.666667,0,0,0,5.006381,0,3.455604,3.455604,0.030271,23.246141,41.443841,0.016369,0,0,0,0,0,0,0.000397,0.000397,0.000213,30.934924,31.059811,82.21862,80.195619,0.045294,3.487615,0.030552,0.030552,0.016369,6175.062646,6330.83372,2391.605442,2381.989127,0,67.013648,0,0.057068,51.199204,67.013648,-2.793173,-0.024468,2.788059,2.793114,0,47585.08607,0.045266,0.187758
Simulation139,Country,16,7,4.15,Vertical-Windows,3.47,3.43,5,4,3,12.41,FALSE,Low-SHGC-Value,Passive,DHWBaseboard,Electric_WaterHeater,2004,59.794,0.495273,0.994,17.794,0.007,0,10332.22,4.468465,0.003171,5.364034,1614.55,371.144444,0,0,353.289507,4.468465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000279,0.000279,0.000274,30.713411,30.862201,48.888154,47.712986,0.03184,2.738214,0.023987,0.023987,0.023578,4103.316805,4204.381277,2654.149323,2641.353369,0,67.01387,0,0.050937,51.199632,67.01387,-2.492993,-0.021839,2.487881,2.492935,0,30893.34952,0.052377,0.24451
Simulation141,Urban,13,4,3.52,Vertical-Windows,2.68,3.38,5,4,3,10.4,TRUE,Low-SHGC-Value,GEG,BoilerBaseboard,Gas_TanklessHeater,2019,60.347,1.127176,3.159,17.423,0.02,0,12333.09,6.846298,0.004859,12.211866,2001.902778,496.319444,0,0,551.791287,6.846298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001549,0.001549,0.00159,28.544125,28.947074,48.879459,45.828121,0.176825,10.432669,0.09139,0.09139,0.093811,2703.859116,2883.888056,1707.87736,1684.103368,0,67.015213,0,0.078042,51.201264,67.015213,-3.819467,-0.033459,3.814367,3.819421,3.819421,55375.58811,0.04516,0.556546
Simulation142,Country,55,2,3.95,Vertical-Windows,2.18,3.52,5,4,4,7.79,FALSE,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,pre_1980,57.567,0.982995,0.632,17.148,0.005,0,22577.02,9.457844,0.006712,10.637907,3134.455556,702.311111,0,0,627.317906,9.457844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000432,0.000432,0.000435,32.215193,32.31094,48.88831,48.163582,0.049279,3.794495,0.03324,0.03324,0.033475,3708.595801,3764.399887,2487.942368,2480.569828,-0.2218,58.966601,-0.001943,0.107811,50.321669,58.966601,-5.16539,-0.045249,5.371276,5.371454,0,78793.81105,0.036586,0.195376
Simulation147,Urban,65,8,3.21,Vertical-Windows,2.67,3.11,4,4,3,12.21,FALSE,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2016,59.301,0.925055,3.94,16.874,0.022,0,12476.98,4.171963,0.002961,10.026275,2044.038889,465.086111,0,0,591.249934,4.171963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001499,0.001499,0.001509,28.409752,28.951864,48.877816,44.826723,0.171092,13.174087,0.115405,0.115405,0.116231,3451.657652,3763.59182,2229.293554,2187.550909,0,67.015367,0,0.047557,51.201008,67.015367,-2.327606,-0.02039,2.322507,2.327562,0,54399.64571,0.048589,0.530916
Simulation148,Urban,17,9,2.99,Horizontal-Windows,2.44,2.43,3,5,3,7.18,TRUE,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2004,67.743,0.183819,10.929,16.969,0.015,0,6310.62,6.880405,0.004883,10.229341,1053.388889,203.491667,15.172222,249.425706,0,6.880405,6.140896,0,0,0,0,0,0,0.053794,53794.24585,46.663566,0.028747,0.02462,0.308086,0.001697,0.001697,0.000921,25.763813,26.27823,82.209999,74.038458,0.193734,6.199473,0.054307,0.054307,0.029465,2369.230649,2630.719959,840.903364,824.442012,-0.221797,58.966232,-0.001943,0.078431,50.333213,58.966232,-3.757772,-0.032918,3.963633,3.963824,3.963824,24674.53584,0.049869,0.330086
Simulation150,Urban,79,6,4.49,Ribbon-Windows,2.4,3.68,4,4,4,8.07,TRUE,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_TanklessHeater,2016,59.046,0.997725,1.805,17.258,0.013,0,8970.67,8.039273,0.005705,10.804583,1154.811111,318.586111,0,0,339.259997,8.039273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000923,0.000923,0.000922,29.718432,29.971698,48.886406,46.891172,0.105406,4.321635,0.037858,0.037858,0.0378,1922.538061,2004.342658,1228.839612,1218.455703,0,67.014897,0,0.091641,51.200633,67.014897,-4.485192,-0.03929,4.480089,4.485144,4.485144,34178.23721,0.043554,0.550455
Simulation151,Urban,39,8,3.49,Vertical-Windows,3.92,2.49,3,5,4,12.63,FALSE,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_WaterHeater,2004,58.295,1.076931,1.899,17.377,0.013,0,10714.93,7.793813,0.005531,11.656272,1760.641667,338.377778,0,0,366.002728,7.793813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001166,0.001166,0.001184,27.657154,27.930562,48.885652,46.78784,0.133054,5.45521,0.047788,0.047788,0.048538,1918.301452,2004.311751,1145.153045,1133.943305,0,67.013916,0,0.088843,51.199585,67.013916,-4.348286,-0.038091,4.343174,4.348229,4.348229,42002.5325,0.04253,0.239947
Simulation152,Urban,175,8,4.36,Ribbon-Windows,2.3,3.12,3,3,4,11.91,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2019,58.702,0.572356,3.035,17.763,0.017,0,10423.38,2.274897,0.001614,6.202819,2143.641667,387.169444,0,0,451.287698,2.274897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000784,0.000784,0.00078,27.114648,27.505467,48.883424,45.791486,0.08954,8.506327,0.074515,0.074515,0.074084,4350.19121,4643.925257,2613.019373,2575.891517,-0.221819,58.96987,-0.001943,0.025932,50.339959,58.96987,-1.242451,-0.010884,1.448294,1.448345,1.448345,34605.6205,0.063043,0.177402
Simulation154,City,23,3,3.91,Horizontal-Windows,2.24,3.17,4,5,4,8.02,FALSE,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_WaterHeater,2013,64.737,0.215738,8.193,17.527,0.013,0,11856.48,5.585898,0.003964,12.006747,1709.544444,448.072222,0,0,0,5.585898,0,11.089272,11.089272,0.097142,23.844722,46.577002,0.056404,0,0,0,0,0,0,0.001674,0.001674,0.000956,28.379384,28.813713,82.182653,75.244939,0.191061,11.272573,0.098748,0.098748,0.056404,4439.451378,4848.776529,1700.009091,1674.383675,-0.221813,58.968815,-0.001943,0.063674,50.336495,58.968815,-3.050795,-0.026725,3.25666,3.256822,3.256822,50627.16033,0.045457,0.57712
Simulation155,City,102,4,3.81,Ribbon-Windows,3.43,3.11,3,5,3,7.17,FALSE,External-Shading,GEG,ASHPBaseboard,Electric_TanklessHeater,2019,66.141,0.103991,10.065,17.192,0.011,0,6238.82,2.614246,0.001855,5.787478,1254.069444,254.161111,13.813889,299.876069,0,2.614246,5.59128,0,0,0,0,0,0,0.04898,48979.61181,45.322708,0.025404,0.018645,0.298407,0.000728,0.000728,0.000384,27.647661,28.057713,82.211136,75.41426,0.083053,5.647591,0.049473,0.049473,0.026115,5128.169661,5590.357261,1907.924455,1880.040928,0,67.013642,0,0.0298,51.199379,67.013642,-1.458513,-0.012777,1.453399,1.458453,0,23645.14436,0.065449,0.260901
Simulation156,Urban,53,4,3.92,Vertical-Windows,3.72,2.78,4,5,3,10.46,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,2004,58.314,1.113261,7.465,15.639,0.048,0,2697.89,4.327169,0.003071,11.865227,615.402778,88.122222,0,0,127.216915,4.327169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003417,0.003417,0.00351,23.061665,24.093099,48.861943,42.169743,0.390047,5.460663,0.047835,0.047835,0.049136,590.376409,684.067205,337.303388,322.863304,0,67.014552,0,0.049326,51.200524,67.014552,-2.414098,-0.021147,2.408992,2.414046,0,12059.55936,0.07174,0.440763
Simulation157,Suburbs,91,10,3.32,Vertical-Windows,2.09,3.37,4,3,2,12.18,TRUE,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,pre_1980,59.471,0.944443,0.946,18.154,0.006,0,19543.81,6.191882,0.004394,10.228274,3159.052778,737.133333,0,0,673.661278,6.191882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000502,0.000502,0.000511,31.191581,31.324692,48.887821,47.875296,0.057328,4.930219,0.043189,0.043189,0.043988,4117.275437,4204.352638,2693.923545,2682.475944,0,67.013844,0,0.070582,51.199426,67.013844,-3.454582,-0.030262,3.449469,3.454524,0,73875.6018,0.041047,0.22287
Simulation158,City,74,6,4.27,Ribbon-Windows,2.67,3.47,4,4,3,10.28,FALSE,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,1980_2004,67.195,0.109241,8.562,18.038,0.01,0,6958.31,3.34561,0.002374,6.079522,1367.733333,285.055556,13.105556,315.008255,0,3.34561,5.30475,0,0,0,0,0,0,0.04647,46469.606,45.6911,0.024578,0.01684,0.302121,0.00069,0.00069,0.00037,27.488144,27.866429,82.215419,76.071913,0.078749,5.354964,0.046909,0.046909,0.025172,5172.890084,5590.648501,1894.91718,1869.193806,0,67.013495,0,0.038137,51.199296,67.013495,-1.866534,-0.016351,1.861418,1.866473,0,27276.59088,0.059369,0.208168
Simulation159,City,36,7,3.79,Horizontal-Windows,2.11,2.74,3,3,3,8.77,TRUE,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,pre_1980,72.61,0.172825,14.472,18.198,0.016,0,9493.3,3.713923,0.002636,9.6188,1609.15,400.411111,30.225,498.394655,0,3.713923,12.233338,0,0,0,0,0,0,0.107164,107164.0399,47.178085,0.056232,0.024545,0.318844,0.001591,0.001591,0.000849,28.400814,28.930648,82.210766,74.048501,0.181673,12.353795,0.108219,0.108219,0.057728,5035.298075,5590.332116,1967.284055,1931.255336,0,67.015365,0,0.042336,51.201005,67.015365,-2.072059,-0.018151,2.06696,2.072015,0,40156.65562,0.055985,0.603205
Simulation160,Urban,6,1,4.47,Horizontal-Windows,3.14,3.2,4,4,2,12.45,FALSE,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2013,61.187,0.549091,3.567,17.248,0.022,0,3586.55,3.447653,0.002447,5.944905,738.438889,121.019444,0,0,145.692001,3.447653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000944,0.000944,0.000927,25.308577,25.796927,48.884013,45.164171,0.107725,3.447184,0.030197,0.030197,0.029673,1445.253476,1564.288417,825.50165,809.874463,-0.22181,58.968314,-0.001943,0.0393,50.334474,58.968314,-1.882944,-0.016495,2.088787,2.088867,0,11979.08902,0.066452,0.167418
Simulation161,Suburbs,71,9,3.78,Vertical-Windows,3.95,2.6,5,4,3,8.9,FALSE,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016,59.804,0.175182,3.547,17.375,0.006,0,12752.74,5.594244,0.00397,9.748365,2128.147222,425.747222,0,0,0,5.594244,0,5.164296,5.164296,0.045239,23.888883,43.939617,0.025597,0,0,0,0,0,0,0.000775,0.000775,0.000434,28.873331,29.086547,82.213443,78.72272,0.088496,5.221237,0.045738,0.045738,0.025597,4644.640477,4850.593114,1716.106276,1703.526506,-0.221796,58.96597,-0.001943,0.06377,50.332787,58.96597,-3.055302,-0.026764,3.26115,3.261231,3.261231,47312.64727,0.044274,0.216179
Simulation165,City,62,7,3.92,Vertical-Windows,2.26,2.75,3,5,2,7.49,FALSE,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,1980_2004,61.497,0.122381,3.101,17.911,0.005,0,10111.97,4.063129,0.002883,6.811051,1408.977778,413.736111,0,0,0,4.063129,0,3.579377,3.579377,0.031355,22.445063,40.867846,0.016716,0,0,0,0,0,0,0.000412,0.000412,0.000217,32.259786,32.43836,82.215435,79.221701,0.046979,3.617347,0.031688,0.031688,0.016716,6100.070969,6330.588491,2497.7537,2484.003543,0,67.014657,0,0.046316,51.200257,67.014657,-2.266897,-0.019858,2.261792,2.266847,0,32762.77445,0.053038,0.51194
Simulation166,Urban,55,7,4.23,Ribbon-Windows,3.85,2.24,4,4,2,8.32,FALSE,Low-SHGC-Value,GEG,BoilerBaseboard,Gas_TanklessHeater,2004,58.17,0.134187,2.548,17.242,0.004,0,16446.71,4.539684,0.003222,7.467538,2592.05,528.408333,0,0,0,4.539684,0,4.783158,4.783158,0.0419,23.128426,44.226415,0.022869,0,0,0,0,0,0,0.000446,0.000446,0.000241,30.097894,30.266687,82.217224,79.397625,0.050862,4.831865,0.042327,0.042327,0.022869,7542.774397,7810.636286,2875.335241,2859.299974,-0.221803,58.967195,-0.001943,0.051748,50.331838,58.967195,-2.479344,-0.021719,2.68519,2.685282,2.685282,54109.67228,0.046231,0.192196
Simulation167,Urban,10,3,3.34,Vertical-Windows,2.23,3.59,3,4,2,7.2,FALSE,External-Shading,GEG,ASHPBaseboard,Gas_WaterHeater,2004,59.195,0.212085,4.126,17.123,0.008,0,8756.9,7.978917,0.005662,11.801201,1220.622222,291.894444,7.947222,287.752944,0,7.978917,3.217033,0,0,0,0,0,0,0.028181,28181.20894,39.249248,0.014965,0.01118,0.218208,0.000887,0.000887,0.000473,29.615434,29.812344,82.219863,78.999181,0.101291,3.24132,0.028394,0.028394,0.015134,2527.973791,2631.035602,953.995019,947.693872,0,67.014618,0,0.090953,51.200397,67.014618,-4.451495,-0.038995,4.446389,4.451444,4.451444,29948.58665,0.044184,0.56902
